iter	Passed	Remaining
0	146	146434
1	149	74402
2	150	49945
3	151	37711
4	152	30416
5	154	25521
6	155	22027
7	156	19422
8	157	17380
9	159	15760
10	161	14490
11	162	13394
12	164	12451
13	165	11650
14	166	10950
15	168	10355
16	169	9812
17	171	9331
18	172	8907
19	174	8535
20	175	8202
21	177	7880
22	178	7591
23	180	7330
24	182	7098
25	183	6866
26	184	6648
27	186	6457
28	187	6278
29	189	6112
30	190	5951
31	191	5796
32	192	5650
33	194	5512
34	195	5383
35	196	5263
36	197	5150
37	199	5044
38	200	4944
39	203	4873
40	204	4784
41	205	4697
42	207	4612
43	208	4531
44	209	4454
45	211	4385
46	212	4314
47	214	4245
48	215	4185
49	216	4122
50	218	4063
51	219	4006
52	221	3950
53	222	3897
54	223	3847
55	227	3827
56	231	3831
57	233	3793
58	235	3751
59	237	3714
60	239	3679
61	240	3639
62	242	3604
63	245	3594
64	247	3557
65	248	3519
66	250	3483
67	251	3446
68	252	3410
69	254	3377
70	255	3344
71	257	3314
72	259	3298
73	261	3270
74	262	3241
75	264	3216
76	265	3188
77	267	3160
78	268	3132
79	270	3105
80	271	3079
81	273	3060
82	274	3029
83	275	3007
84	277	2986
85	278	2964
86	280	2946
87	283	2933
88	284	2913
89	285	2891
90	287	2871
91	289	2856
92	290	2834
93	292	2814
94	293	2795
95	294	2776
96	296	2757
97	297	2739
98	298	2718
99	299	2698
100	301	2679
101	303	2672
102	304	2655
103	307	2645
104	308	2627
105	309	2609
106	310	2593
107	311	2576
108	313	2560
109	314	2545
110	316	2530
111	317	2521
112	319	2506
113	320	2492
114	322	2480
115	323	2465
116	324	2449
117	325	2435
118	327	2421
119	328	2407
120	329	2394
121	331	2383
122	332	2371
123	334	2359
124	335	2348
125	336	2335
126	337	2321
127	339	2310
128	340	2299
129	342	2289
130	344	2283
131	346	2277
132	348	2271
133	350	2262
134	351	2251
135	352	2242
136	354	2234
137	356	2225
138	357	2216
139	362	2227
140	364	2221
141	365	2209
142	367	2202
143	369	2195
144	373	2205
145	376	2202
146	378	2197
147	380	2189
148	382	2183
149	384	2179
150	386	2174
151	399	2231
152	401	2224
153	403	2218
154	408	2225
155	410	2221
156	412	2213
157	414	2208
158	416	2201
159	418	2195
160	421	2197
161	423	2191
162	425	2182
163	426	2173
164	427	2164
165	429	2156
166	431	2152
167	434	2152
168	436	2146
169	438	2138
